date,ticker,open,high,low,close,volume,ma_20,ma_50,rsi_14,bb_upper,bb_lower,bb_mid,pct_return,cumulative_return,indexed_price,volume_zscore,volume_spike,drawdown_pct,volatility_30d
2024-06-18,LTRN,4.840000152587891,4.880000114440918,4.579999923706055,4.690000057220459,105300,,,,,,,,0.0,100.0,,False,0.0,
2024-06-20,LTRN,4.610000133514404,4.610000133514404,4.320000171661377,4.440000057220459,107500,,,,,,,-5.3305,-5.3305,94.6695,,False,-5.3305,
2024-06-21,LTRN,4.420000076293945,4.639999866485596,4.099999904632568,4.150000095367432,117400,,,,,,,-6.5315,-11.5139,88.4861,,False,-11.5139,
2024-06-24,LTRN,4.139999866485596,4.210000038146973,3.849999904632568,3.910000085830689,160600,,,,,,,-5.7831,-16.6311,83.3689,,False,-16.6311,
2024-06-25,LTRN,3.869999885559082,4.150000095367432,3.829999923706055,4.010000228881836,65800,,,,,,,2.5575,-14.4989,85.5011,,False,-14.4989,
2024-06-26,LTRN,4.0,4.289999961853027,4.0,4.269999980926514,48800,,,,,,,6.4838,-8.9552,91.0448,,False,-8.9552,
2024-06-27,LTRN,4.25,4.610000133514404,4.239999771118164,4.539999961853027,43900,,,,,,,6.3232,-3.1983,96.8017,,False,-3.1983,
2024-06-28,LTRN,4.559999942779541,4.868000030517578,4.510000228881836,4.670000076293945,78200,,,,,,,2.8634,-0.4264,99.5736,,False,-0.4264,
2024-07-01,LTRN,4.760000228881836,4.900000095367432,4.400000095367432,4.519999980926514,40500,,,,,,,-3.212,-3.6247,96.3753,,False,-3.6247,
2024-07-02,LTRN,4.46999979019165,4.679999828338623,4.400000095367432,4.400000095367432,21900,,,,,,,-2.6549,-6.1834,93.8166,,False,-6.1834,
2024-07-03,LTRN,4.380000114440918,4.570000171661377,4.25,4.289999961853027,25500,,,,,,,-2.5,-8.5288,91.4712,,False,-8.5288,
2024-07-05,LTRN,4.25,4.570000171661377,4.25,4.380000114440918,17700,,,,,,,2.0979,-6.6098,93.3902,,False,-6.6098,
2024-07-08,LTRN,4.389999866485596,4.5,4.070000171661377,4.070000171661377,121100,,,,,,,-7.0776,-13.2196,86.7804,,False,-13.2196,
2024-07-09,LTRN,4.059999942779541,4.298999786376953,3.9600000381469727,4.28000020980835,58300,,,,,,,5.1597,-8.742,91.258,,False,-8.742,
2024-07-10,LTRN,4.300000190734863,4.300000190734863,4.099999904632568,4.130000114440918,65200,,,39.55,,,,-3.5047,-11.9403,88.0597,,False,-11.9403,
2024-07-11,LTRN,3.990000009536743,4.329999923706055,3.9700000286102295,4.199999809265137,97200,,,45.2,,,,1.6949,-10.4478,89.5522,,False,-10.4478,
2024-07-12,LTRN,4.269999980926514,4.489999771118164,4.2220001220703125,4.420000076293945,27600,,,55.56,,,,5.2381,-5.7569,94.2431,,False,-5.7569,
2024-07-15,LTRN,4.480000019073486,4.5,4.269999980926514,4.349999904632568,63200,,,59.73,,,,-1.5837,-7.2495,92.7505,,False,-7.2495,
2024-07-16,LTRN,4.429999828338623,4.619999885559082,4.210000038146973,4.5,123200,,,60.61,,,,3.4483,-4.0512,95.9488,,False,-4.0512,
2024-07-17,LTRN,4.550000190734863,4.880000114440918,4.449999809265137,4.829999923706055,64600,4.3525,,61.76,4.8261,3.8789,4.3525,7.3333,2.9851,102.9851,,False,0.0,
2024-07-18,LTRN,4.860000133514404,5.099999904632568,4.360000133514404,4.480000019073486,56900,4.342,,48.78,4.7929,3.8911,4.342,-7.2464,-4.4776,95.5224,,False,-7.2464,
2024-07-19,LTRN,4.460000038146973,4.599999904632568,4.300000190734863,4.409999847412109,15700,4.3405,,44.58,4.7902,3.8908,4.3405,-1.5625,-5.9702,94.0298,,False,-8.6957,
2024-07-22,LTRN,4.489999771118164,4.659999847412109,4.380000114440918,4.619999885559082,37400,4.364,,52.03,4.8209,3.9071,4.364,4.7619,-1.4925,98.5075,,False,-4.3478,
2024-07-23,LTRN,4.590000152587891,4.849999904632568,4.340000152587891,4.760000228881836,29600,4.4065,,57.26,4.8432,3.9698,4.4065,3.0303,1.4925,101.4925,,False,-1.4493,
2024-07-24,LTRN,4.75,4.77400016784668,4.400000095367432,4.420000076293945,24600,4.427,,52.4,4.8219,4.0321,4.427,-7.1429,-5.7569,94.2431,,False,-8.4886,
2024-07-25,LTRN,4.400000095367432,4.861999988555908,4.400000095367432,4.539999961853027,14800,4.4405,,52.92,4.8312,4.0498,4.4405,2.7149,-3.1983,96.8017,,False,-6.0041,
2024-07-26,LTRN,4.630000114440918,4.881999969482422,4.53000020980835,4.579999923706055,22800,4.4425,,60.32,4.8358,4.0492,4.4425,0.8811,-2.3454,97.6546,,False,-5.176,
2024-07-29,LTRN,4.599999904632568,4.769999980926514,4.539999961853027,4.610000133514404,12900,4.4395,,57.21,4.8263,4.0527,4.4395,0.655,-1.7058,98.2942,,False,-4.5549,
2024-07-30,LTRN,4.619999885559082,4.749000072479248,4.420000076293945,4.449999809265137,20500,4.436,,56.96,4.821,4.051,4.436,-3.4707,-5.1173,94.8827,,False,-7.8675,
2024-07-31,LTRN,4.449999809265137,4.650000095367432,4.199999809265137,4.199999809265137,60500,4.426,,50.0,4.8251,4.0269,4.426,-5.618,-10.4478,89.5522,0.0555,False,-13.0435,
2024-08-01,LTRN,4.199999809265137,4.210000038146973,3.910000085830689,4.059999942779541,37200,4.4145,,42.5,4.8423,3.9867,4.4145,-3.3333,-13.4328,86.5672,-0.4871,False,-15.942,4.6
2024-08-02,LTRN,3.950000047683716,3.986999988555908,3.7300000190734863,3.740000009536743,46400,4.3825,,38.49,4.9062,3.8588,4.3825,-7.8818,-20.2559,79.7441,-0.2029,False,-22.5673,4.7169
2024-08-05,LTRN,3.640000104904175,3.839999914169312,3.299999952316284,3.5199999809265137,161400,4.355,,31.99,4.993,3.717,4.355,-5.8824,-24.9467,75.0533,2.6,True,-27.1222,4.6895
2024-08-06,LTRN,3.650000095367432,3.7899999618530273,3.5299999713897705,3.5899999141693115,32800,4.3205,,24.8,5.0445,3.5965,4.3205,1.9886,-23.4542,76.5458,-0.5149,False,-25.6729,4.5979
2024-08-07,LTRN,3.799999952316284,4.489999771118164,3.660000085830689,4.03000020980835,98900,4.3155,,41.18,5.0463,3.5847,4.3155,12.2563,-14.0725,85.9275,1.2691,False,-16.5631,5.1096
2024-08-08,LTRN,4.429999828338623,4.880000114440918,3.950000047683716,4.230000019073486,150800,4.317,,46.64,5.047,3.587,4.317,4.9628,-9.8081,90.1919,2.3271,True,-12.4224,5.0517
2024-08-09,LTRN,4.25,4.340000152587891,3.660000085830689,3.9049999713897705,92900,4.2912,,37.21,5.042,3.5405,4.2912,-7.6832,-16.7377,83.2623,0.8599,False,-19.1511,5.1029
2024-08-12,LTRN,3.799999952316284,4.099999904632568,3.5999999046325684,3.859999895095825,90300,4.2667,,33.33,5.041,3.4925,4.2667,-1.1524,-17.6972,82.3028,0.7822,False,-20.0828,5.0676
2024-08-13,LTRN,3.859999895095825,4.099999904632568,3.721999883651733,3.9700000286102295,54500,4.2402,,40.89,5.0172,3.4633,4.2402,2.8497,-15.3518,84.6482,-0.0895,False,-17.8054,5.0769
2024-08-14,LTRN,4.03000020980835,4.03000020980835,3.849999904632568,3.940000057220459,13100,4.1957,,37.39,4.9313,3.4602,4.1957,-0.7557,-15.9915,84.0085,-1.0724,False,-18.4265,5.0585
2024-08-15,LTRN,3.9600000381469727,4.400000095367432,3.839999914169312,4.289999961853027,83200,4.1862,,44.61,4.9112,3.4613,4.1862,8.8832,-8.5288,91.4712,0.5618,False,-11.1801,5.3044
